Feature,Importance
COM.PERCEN_34.94724337,0.0
COM.PERCEN_34.95823757,0.0
COM.PERCEN_34.95954163,0.0
COM.PERCEN_34.96853713,0.0
COM.PERCEN_34.9717159,0.0
COM.PERCEN_34.97600465,0.0
COM.PERCEN_34.99007655,0.0
COM.PERCEN_34.99288802,0.0
COM.PERCEN_35.00138509,0.0
COM.PERCEN_35.00835853,0.0
COM.PERCEN_35.01883715,0.0
COM.PERCEN_35.04924284,0.0
COM.PERCEN_35.07499434,0.0
COM.PERCEN_35.1169123,0.0
COM.PERCEN_35.15658267,0.0
COM.PERCEN_35.16377671,0.0
COM.PERCEN_35.20290013,0.0
COM.PERCEN_35.21828595,0.0
COM.PERCEN_35.2447957,0.0
COM.PERCEN_35.24867186,0.0
COM.PERCEN_35.25266464,0.0
COM.PERCEN_35.27955099,0.0
COM.PERCEN_34.78539689,0.0
COM.PERCEN_34.77571144,0.0
COM.PERCEN_35.32642914,0.0
COM.PERCEN_34.74577724,0.0
COM.PERCEN_34.34045744,0.0
COM.PERCEN_34.36099151,0.0
COM.PERCEN_34.39974066,0.0
COM.PERCEN_34.40224615,0.0
COM.PERCEN_34.41700028,0.0
COM.PERCEN_34.43312923,0.0
COM.PERCEN_34.43358313,0.0
COM.PERCEN_34.44269651,0.0
COM.PERCEN_34.45337957,0.0
COM.PERCEN_34.47818974,0.0
COM.PERCEN_34.49550179,0.0
COM.PERCEN_34.50101453,0.0
COM.PERCEN_34.51514043,0.0
COM.PERCEN_34.5152865,0.0
COM.PERCEN_34.5308693,0.0
COM.PERCEN_34.54074855,0.0
COM.PERCEN_34.55302851,0.0
COM.PERCEN_34.56463001,0.0
COM.PERCEN_34.57679758,0.0
COM.PERCEN_34.57956053,0.0
COM.PERCEN_34.58353575,0.0
COM.PERCEN_34.5839998,0.0
COM.PERCEN_34.60209631,0.0
COM.PERCEN_34.61867094,0.0
COM.PERCEN_34.66825856,0.0
COM.PERCEN_34.7040349,0.0
COM.PERCEN_34.72903925,0.0
COM.PERCEN_34.73806069,0.0
COM.PERCEN_34.73808729,0.0
COM.PERCEN_35.31300789,0.0
COM.PERCEN_35.34876074,0.0
COM.PERCEN_34.28957587,0.0
COM.PERCEN_35.86856985,0.0
COM.PERCEN_35.90331769,0.0
COM.PERCEN_35.90827215,0.0
COM.PERCEN_35.96093521,0.0
COM.PERCEN_35.9748919,0.0
COM.PERCEN_35.97734804,0.0
COM.PERCEN_35.97978523,0.0
COM.PERCEN_35.99390162,0.0
COM.PERCEN_36.00538284,0.0
COM.PERCEN_36.01546972,0.0
COM.PERCEN_36.03214125,0.0
COM.PERCEN_36.0475928,0.0
COM.PERCEN_36.05082545,0.0
COM.PERCEN_36.07963822,0.0
COM.PERCEN_36.0956761,0.0
COM.PERCEN_36.10577324,0.0
COM.PERCEN_36.12964922,0.0
COM.PERCEN_36.13877214,0.0
COM.PERCEN_36.15043663,0.0
COM.PERCEN_36.17743319,0.0
COM.PERCEN_36.18090791,0.0
COM.PERCEN_36.18493548,0.0
COM.PERCEN_36.18494026,0.0
COM.PERCEN_36.18696291,0.0
COM.PERCEN_36.20585029,0.0
COM.PERCEN_36.21682656,0.0
COM.PERCEN_36.22160236,0.0
COM.PERCEN_36.23125876,0.0
COM.PERCEN_36.23434615,0.0
COM.PERCEN_36.23867043,0.0
COM.PERCEN_35.88760123,0.0
COM.PERCEN_35.86762186,0.0
COM.PERCEN_35.35111685,0.0
COM.PERCEN_35.86234984,0.0
COM.PERCEN_35.37800195,0.0
COM.PERCEN_35.3915039,0.0
COM.PERCEN_35.4060011,0.0
COM.PERCEN_35.41516007,0.0
COM.PERCEN_35.43730703,0.0
COM.PERCEN_35.45461595,0.0
COM.PERCEN_35.4578974,0.0
COM.PERCEN_35.46348505,0.0
COM.PERCEN_35.46887934,0.0
COM.PERCEN_35.48970998,0.0
COM.PERCEN_35.59760858,0.0
COM.PERCEN_35.60124776,0.0
COM.PERCEN_35.64660852,0.0
COM.PERCEN_35.65538348,0.0
COM.PERCEN_35.65849168,0.0
COM.PERCEN_35.66052907,0.0
COM.PERCEN_35.70299978,0.0
COM.PERCEN_35.70303115,0.0
COM.PERCEN_35.71456855,0.0
COM.PERCEN_35.71852277,0.0
COM.PERCEN_35.7269906,0.0
COM.PERCEN_35.74699215,0.0
COM.PERCEN_35.79016351,0.0
COM.PERCEN_35.80644295,0.0
COM.PERCEN_35.8067512,0.0
COM.PERCEN_35.80785607,0.0
COM.PERCEN_35.80920055,0.0
COM.PERCEN_35.81344623,0.0
COM.PERCEN_35.81910835,0.0
COM.PERCEN_34.29369218,0.0
COM.PERCEN_34.28650496,0.0
COM.PERCEN_31.9709438,0.0
COM.PERCEN_32.5991356,0.0
COM.PERCEN_32.69493123,0.0
COM.PERCEN_32.69627851,0.0
COM.PERCEN_32.70567118,0.0
COM.PERCEN_32.70734249,0.0
COM.PERCEN_32.72809318,0.0
COM.PERCEN_32.73698183,0.0
COM.PERCEN_32.74475722,0.0
COM.PERCEN_32.77318742,0.0
COM.PERCEN_32.8114935,0.0
COM.PERCEN_32.83196607,0.0
COM.PERCEN_32.84326371,0.0
COM.PERCEN_32.85389342,0.0
COM.PERCEN_32.86754492,0.0
COM.PERCEN_32.87267684,0.0
COM.PERCEN_32.91088891,0.0
COM.PERCEN_32.91779389,0.0
COM.PERCEN_32.9422759,0.0
COM.PERCEN_32.94377183,0.0
COM.PERCEN_32.95450071,0.0
COM.PERCEN_32.95784063,0.0
COM.PERCEN_32.96259543,0.0
COM.PERCEN_32.96401147,0.0
COM.PERCEN_32.98020405,0.0
COM.PERCEN_33.0117228,0.0
COM.PERCEN_33.05972783,0.0
COM.PERCEN_33.07131652,0.0
COM.PERCEN_33.10049726,0.0
COM.PERCEN_33.11090048,0.0
COM.PERCEN_33.12500665,0.0
COM.PERCEN_32.61042824,0.0
COM.PERCEN_32.59593621,0.0
COM.PERCEN_33.13303554,0.0
COM.PERCEN_32.58391838,0.0
COM.PERCEN_32.01875739,0.0
COM.PERCEN_32.02625304,0.0
COM.PERCEN_32.06291612,0.0
COM.PERCEN_32.07250835,0.0
COM.PERCEN_32.07523311,0.0
COM.PERCEN_22.6554638,0.0
COM.PERCEN_32.13889317,0.0
COM.PERCEN_32.19316699,0.0
COM.PERCEN_32.22107251,0.0
COM.PERCEN_32.22338635,0.0
COM.PERCEN_32.22502941,0.0
COM.PERCEN_32.22651094,0.0
COM.PERCEN_32.23625034,0.0
COM.PERCEN_32.23870549,0.0
COM.PERCEN_32.24739805,0.0
COM.PERCEN_32.25648587,0.0
COM.PERCEN_32.2723823,0.0
COM.PERCEN_32.28849253,0.0
COM.PERCEN_32.34735948,0.0
COM.PERCEN_32.37540308,0.0
COM.PERCEN_32.4134855,0.0
COM.PERCEN_32.42426307,0.0
COM.PERCEN_32.4279276,0.0
COM.PERCEN_32.43150827,0.0
COM.PERCEN_32.43480776,0.0
COM.PERCEN_32.43571867,0.0
COM.PERCEN_32.46996882,0.0
COM.PERCEN_32.50590148,0.0
COM.PERCEN_32.55424092,0.0
COM.PERCEN_33.12853931,0.0
COM.PERCEN_33.15024304,0.0
COM.PERCEN_34.28148868,0.0
COM.PERCEN_33.80156549,0.0
COM.PERCEN_33.83302399,0.0
COM.PERCEN_33.84666009,0.0
COM.PERCEN_33.86276241,0.0
COM.PERCEN_33.87350057,0.0
COM.PERCEN_33.88409407,0.0
COM.PERCEN_33.8856021,0.0
COM.PERCEN_33.89530122,0.0
COM.PERCEN_33.94666317,0.0
COM.PERCEN_33.94872747,0.0
COM.PERCEN_33.98533794,0.0
COM.PERCEN_34.02360989,0.0
COM.PERCEN_34.02631692,0.0
COM.PERCEN_34.03027035,0.0
COM.PERCEN_34.0422572,0.0
COM.PERCEN_34.0509797,0.0
COM.PERCEN_34.06851797,0.0
COM.PERCEN_34.06858244,0.0
COM.PERCEN_34.07626317,0.0
COM.PERCEN_34.07964988,0.0
COM.PERCEN_34.08236714,0.0
COM.PERCEN_34.11588002,0.0
COM.PERCEN_34.13580286,0.0
COM.PERCEN_34.14017634,0.0
COM.PERCEN_34.14502442,0.0
COM.PERCEN_34.18102855,0.0
COM.PERCEN_34.18108202,0.0
COM.PERCEN_34.20515492,0.0
COM.PERCEN_34.21038936,0.0
COM.PERCEN_34.2756973,0.0
COM.PERCEN_33.8256689,0.0
COM.PERCEN_33.76274558,0.0
COM.PERCEN_33.15326717,0.0
COM.PERCEN_33.76194729,0.0
COM.PERCEN_33.17586891,0.0
COM.PERCEN_33.17918727,0.0
COM.PERCEN_33.23081566,0.0
COM.PERCEN_33.23549159,0.0
COM.PERCEN_33.23584195,0.0
COM.PERCEN_33.24385124,0.0
COM.PERCEN_33.29510959,0.0
COM.PERCEN_33.29932194,0.0
COM.PERCEN_33.30322916,0.0
COM.PERCEN_33.32267626,0.0
COM.PERCEN_33.32592926,0.0
COM.PERCEN_33.35162802,0.0
COM.PERCEN_33.35312724,0.0
COM.PERCEN_33.40646785,0.0
COM.PERCEN_33.41576936,0.0
COM.PERCEN_33.42165137,0.0
COM.PERCEN_33.47843155,0.0
COM.PERCEN_33.48753076,0.0
COM.PERCEN_33.48872644,0.0
COM.PERCEN_33.54333043,0.0
COM.PERCEN_33.57523055,0.0
COM.PERCEN_33.62403358,0.0
COM.PERCEN_33.63089937,0.0
COM.PERCEN_33.64836999,0.0
COM.PERCEN_33.68522855,0.0
COM.PERCEN_33.71183207,0.0
COM.PERCEN_33.72442922,0.0
COM.PERCEN_33.72943951,0.0
COM.PERCEN_33.75249011,0.0
COM.PERCEN_22.65565864,0.0
COM.PERCEN_21.93814321,0.0
COM.PERCEN_22.4401682,0.0
RES.PERCEN_38.81878801,0.0
RES.PERCEN_38.43953103,0.0
RES.PERCEN_38.47751902,0.0
RES.PERCEN_38.50237592,0.0
RES.PERCEN_38.50493169,0.0
RES.PERCEN_38.54268518,0.0
RES.PERCEN_38.5609098,0.0
RES.PERCEN_38.57266508,0.0
RES.PERCEN_38.61356982,0.0
RES.PERCEN_38.64788216,0.0
RES.PERCEN_38.73089483,0.0
RES.PERCEN_38.76887628,0.0
RES.PERCEN_38.77022114,0.0
RES.PERCEN_38.77520312,0.0
RES.PERCEN_38.80798522,0.0
RES.PERCEN_38.86850635,0.0
RES.PERCEN_37.92601333,0.0
RES.PERCEN_38.87175285,0.0
RES.PERCEN_38.88234527,0.0
RES.PERCEN_38.90766321,0.0
RES.PERCEN_38.92032048,0.0
RES.PERCEN_38.94707673,0.0
RES.PERCEN_38.95598344,0.0
RES.PERCEN_38.95952449,0.0
RES.PERCEN_38.97427355,0.0
RES.PERCEN_39.03972447,0.0
RES.PERCEN_39.04316958,0.0
RES.PERCEN_39.04657238,0.0
RES.PERCEN_39.07654462,0.0
RES.PERCEN_39.11461929,0.0
RES.PERCEN_39.12001528,0.0
RES.PERCEN_38.40999754,0.0
RES.PERCEN_38.40784455,0.0
RES.PERCEN_38.38774341,0.0
RES.PERCEN_38.38339207,0.0
RES.PERCEN_37.95157093,0.0
RES.PERCEN_37.96582309,0.0
RES.PERCEN_37.99298294,0.0
RES.PERCEN_38.00353168,0.0
RES.PERCEN_38.01984929,0.0
RES.PERCEN_38.02790177,0.0
RES.PERCEN_38.03862423,0.0
RES.PERCEN_38.04661324,0.0
RES.PERCEN_38.0485178,0.0
RES.PERCEN_38.11746258,0.0
RES.PERCEN_38.11832953,0.0
RES.PERCEN_38.14901223,0.0
RES.PERCEN_38.17788282,0.0
RES.PERCEN_38.18505544,0.0
RES.PERCEN_38.20051786,0.0
